median_household_income,city
60427,Fairview Heights
60313,Maple Park
60313,New Athens
60250,Hoffman
60250,Somonauk
60236,Bethalto
60156,Hettick
60139,Cornland
60100,Country Club Hills
59844,Menominee
59832,Elgin
59750,Summerfield
59688,Mackinaw
59614,Braidwood
59583,Gifford
59583,Grantfork
59561,Dwight
59531,Cisco
59479,Coal City
59390,Cerro Gordo
59306,Okawville
59286,Elmwood
59250,Broadlands
59167,Grant Park
59167,Pesotum
590,Forest View
58977,Deer Creek
58970,Willowbrook
58750,Lisbon
58750,New Douglas
58750,Radom
58681,Le Roy
58657,Athens
58594,Brimfield
58583,Argenta
58583,Carlyle
58333,Sidney
58262,Northlake
58214,Hecker
58125,Browning
58125,Rome
57978,Carpentersville
57946,Rio
57917,Dawson
57880,Hickory Hills
57813,Pawnee
57796,Morris
57679,Countryside
57612,Marengo
57583,Woodstock
57567,Oak Lawn
57547,Westmont
57543,Wheeling
57202,North City Village
57188,Troy Grove
57167,Poplar Grove
5783,Clifton
5719,North Utica Village
5711,Pecatonica
570,Benson
570,Saint Libory
570,Sheridan
56985,Franklin Park
56979,Kirkland
56979,Thomson
56875,Germantown
56875,Stanford
56869,Burbank
56696,Woodhull
56667,Malta
56667,San Jose
56657,Sandwich
56557,Wilmington
56538,Davis
56500,Mulkeytown
56471,Dalton City
56346,Grand Detour
56339,Oneida
56333,Diamond
56250,Arenzville
56250,Aroma Park
56250,Batchtown
56250,Belle Prairie City
56250,Lostant
56250,Wapella
560,Towanda
55972,Ashland
55905,Elmwood Park
55877,Lake Catherine
55833,Erie
55789,Roanoke
55729,Maeystown
55707,Norridge
55625,Marine
55625,New Holland
55595,Byron
55469,Braceville
55400,Geneseo
55369,Red Bud
55357,Buckley
55313,Spring Bay
55288,Rockdale
55278,Ladd
55250,Franklin
55246,South Beloit
55156,Mitchell
55114,Grafton
550,Sauget
54904,Joy
54887,Richton Park
54844,Hennepin
54823,Highland
54821,Bedford Park
54766,Fulton
54750,Mill Creek
54643,Princeville
54583,Fisher
54583,Mount Erie
54583,Seatonville
54534,Brighton
54514,Plano
54500,Lyndon
54500,West Brooklyn
54474,Bement
54464,Dalzell
54444,Como
54395,Machesney Park
54392,Berwyn
54375,Buda
54375,Fieldon
54375,Hoyleton
54375,Verona
54330,Crestwood
54276,Scott
54267,Eureka
54250,Leland
54187,Bradley
54185,Metamora
54176,Highwood
54167,Farmersville
54167,Manito
54125,Strawn
5491,Rock City
5419,South Jacksonville
5413,Fox Lake
540,Tallula
53892,Palos Hills
53867,Worden
53854,Genoa
53788,Lena
53750,Good Hope
53750,Scottville
53750,Walnut
53720,Oglesby
53654,Buckingham
53584,Alsip
53469,Addison
53450,Creston
53438,Elliott
53393,Broadview
53359,Bellflower
53333,Mount Pulaski
53214,Albany
53145,Lacon
5377,Washburn
5363,Arthur
5356,Saybrook
530,Manchester
52917,Mapleton
52905,Rosewood Heights
52885,West Union
52821,Collinsville
52753,North Riverside
52750,East Gillespie
52750,Thayer
52685,Odell
52679,Kenney
52667,Illiopolis
52639,Colfax
52536,Cambridge
52500,Cedar Point
52500,Flanagan
52500,Forrest
52500,Oreana
52500,Wenonah
52375,La Moille
52375,Reynolds
52331,Minonk
52250,Martinton
52250,Pearl City
52250,Versailles
52232,Ashkum
52222,Viola
52203,Justice
52188,Saint Johns
52181,Glenwood
52175,Hillside
52134,Normal
5292,Colona
51932,Windsor Village
51875,Bonnie
51875,Grand Ridge
51875,Secor
51838,Cherry
51818,Hardin
51786,Shipman
51750,Ipava
51635,Preston Heights
51591,Blue Mound
51500,Cedarville
